theta_deg;pressure_sim_bar
-114.500000;1.382000
-114.160000;1.387459
-113.820000;1.392979
-113.480000;1.398560
-113.140000;1.404205
-112.800000;1.409913
-112.460000;1.415685
-112.120000;1.421522
-111.780000;1.427425
-111.440000;1.433395
-111.100000;1.439432
-110.760000;1.445538
-110.420000;1.451713
-110.080000;1.457958
-109.740000;1.464273
-109.400000;1.470661
-109.060000;1.477122
-108.720000;1.483656
-108.380000;1.490266
-108.040000;1.496950
-107.700000;1.503712
-107.360000;1.510551
-107.020000;1.517469
-106.680000;1.524467
-106.340000;1.531545
-106.000000;1.538705
-105.660000;1.545948
-105.320000;1.553275
-104.980000;1.560687
-104.640000;1.568186
-104.300000;1.575772
-103.960000;1.583446
-103.620000;1.591210
-103.280000;1.599066
-102.940000;1.607013
-102.600000;1.615054
-102.260000;1.623190
-101.920000;1.631422
-101.580000;1.639751
-101.240000;1.648179
-100.900000;1.656708
-100.560000;1.665337
-100.220000;1.674070
-99.880000;1.682907
-99.540000;1.691850
-99.200000;1.700900
-98.860000;1.710059
-98.520000;1.719328
-98.180000;1.728709
-97.840000;1.738204
-97.500000;1.747814
-97.160000;1.757540
-96.820000;1.767385
-96.480000;1.777351
-96.140000;1.787438
-95.800000;1.797649
-95.460000;1.807985
-95.120000;1.818449
-94.780000;1.829042
-94.440000;1.839766
-94.100000;1.850623
-93.760000;1.861615
-93.420000;1.872745
-93.080000;1.884013
-92.740000;1.895422
-92.400000;1.906974
-92.060000;1.918672
-91.720000;1.930518
-91.380000;1.942513
-91.040000;1.954660
-90.700000;1.966962
-90.360000;1.979420
-90.020000;1.992038
-89.680000;2.004817
-89.340000;2.017760
-89.000000;2.030870
-88.660000;2.044149
-88.320000;2.057600
-87.980000;2.071226
-87.640000;2.085028
-87.300000;2.099011
-86.960000;2.113176
-86.620000;2.127528
-86.280000;2.142068
-85.940000;2.156799
-85.600000;2.171726
-85.260000;2.186850
-84.920000;2.202176
-84.580000;2.217705
-84.240000;2.233443
-83.900000;2.249391
-83.560000;2.265553
-83.220000;2.281934
-82.880000;2.298536
-82.540000;2.315363
-82.200000;2.332419
-81.860000;2.349707
-81.520000;2.367232
-81.180000;2.384997
-80.840000;2.403006
-80.500000;2.421264
-80.160000;2.439774
-79.820000;2.458541
-79.480000;2.477570
-79.140000;2.496864
-78.800000;2.516428
-78.460000;2.536267
-78.120000;2.556385
-77.780000;2.576788
-77.440000;2.597479
-77.100000;2.618465
-76.760000;2.639750
-76.420000;2.661339
-76.080000;2.683238
-75.740000;2.705452
-75.400000;2.727986
-75.060000;2.750847
-74.720000;2.774040
-74.380000;2.797571
-74.040000;2.821445
-73.700000;2.845670
-73.360000;2.870250
-73.020000;2.895194
-72.680000;2.920506
-72.340000;2.946194
-72.000000;2.972265
-71.660000;2.998725
-71.320000;3.025582
-70.980000;3.052843
-70.640000;3.080515
-70.300000;3.108606
-69.960000;3.137123
-69.620000;3.166074
-69.280000;3.195468
-68.940000;3.225313
-68.600000;3.255616
-68.260000;3.286388
-67.920000;3.317635
-67.580000;3.349368
-67.240000;3.381596
-66.900000;3.414327
-66.560000;3.447571
-66.220000;3.481339
-65.880000;3.515640
-65.540000;3.550485
-65.200000;3.585883
-64.860000;3.621846
-64.520000;3.658384
-64.180000;3.695508
-63.840000;3.733231
-63.500000;3.771563
-63.160000;3.810516
-62.820000;3.850103
-62.480000;3.890337
-62.140000;3.931229
-61.800000;3.972793
-61.460000;4.015042
-61.120000;4.057989
-60.780000;4.101650
-60.440000;4.146037
-60.100000;4.191166
-59.760000;4.237051
-59.420000;4.283708
-59.080000;4.331152
-58.740000;4.379399
-58.400000;4.428466
-58.060000;4.478368
-57.720000;4.529124
-57.380000;4.580750
-57.040000;4.633264
-56.700000;4.686685
-56.360000;4.741032
-56.020000;4.796322
-55.680000;4.852577
-55.340000;4.909816
-55.000000;4.968059
-54.660000;5.027327
-54.320000;5.087641
-53.980000;5.149025
-53.640000;5.211499
-53.300000;5.275087
-52.960000;5.339812
-52.620000;5.405699
-52.280000;5.472771
-51.940000;5.541054
-51.600000;5.610574
-51.260000;5.681356
-50.920000;5.753428
-50.580000;5.826817
-50.240000;5.901552
-49.900000;5.977660
-49.560000;6.055171
-49.220000;6.134115
-48.880000;6.214524
-48.540000;6.296428
-48.200000;6.379859
-47.860000;6.464851
-47.520000;6.551437
-47.180000;6.639652
-46.840000;6.729529
