theta_rad;theta_deg;pressure_exp_kPa;pressure_sim_kPa;temperature_K;heat_loss_J;burned_fraction;dQ_dtheta_kJ_per_rad
-1.998401994;-114.500000;138.200000;138.200000;308.150000;0.000000;0.000000000;0.000000000
-1.989675347;-114.000000;139.800000;139.004862;308.659397;-0.014545;0.000000000;0.000000000
-1.980948701;-113.500000;139.600000;139.823028;309.174687;-0.029060;0.000000000;0.000000000
-1.972222055;-113.000000;141.700000;140.654740;309.695933;-0.043545;0.000000000;0.000000000
-1.963495408;-112.500000;140.300000;141.500245;310.223196;-0.057999;0.000000000;0.000000000
-1.954768762;-112.000000;142.900000;142.359796;310.756543;-0.072422;0.000000000;0.000000000
-1.946042116;-111.500000;143.700000;143.233651;311.296038;-0.086814;0.000000000;0.000000000
-1.937315470;-111.000000;144.300000;144.122075;311.841747;-0.101173;0.000000000;0.000000000
-1.928588823;-110.500000;145.200000;145.025339;312.393738;-0.115499;0.000000000;0.000000000
-1.919862177;-110.000000;147.200000;145.943720;312.952078;-0.129792;0.000000000;0.000000000
-1.911135531;-109.500000;147.400000;146.877502;313.516836;-0.144051;0.000000000;0.000000000
-1.902408885;-109.000000;148.600000;147.826975;314.088082;-0.158276;0.000000000;0.000000000
-1.893682238;-108.500000;149.300000;148.792437;314.665889;-0.172465;0.000000000;0.000000000
-1.884955592;-108.000000;148.800000;149.774193;315.250327;-0.186620;0.000000000;0.000000000
-1.876228946;-107.500000;150.700000;150.772554;315.841469;-0.200738;0.000000000;0.000000000
-1.867502300;-107.000000;152.300000;151.787840;316.439391;-0.214819;0.000000000;0.000000000
-1.858775653;-106.500000;152.600000;152.820378;317.044167;-0.228863;0.000000000;0.000000000
-1.850049007;-106.000000;154.300000;153.870504;317.655873;-0.242869;0.000000000;0.000000000
-1.841322361;-105.500000;154.400000;154.938559;318.274587;-0.256837;0.000000000;0.000000000
-1.832595715;-105.000000;155.900000;156.024897;318.900388;-0.270765;0.000000000;0.000000000
-1.823869068;-104.500000;156.400000;157.129876;319.533356;-0.284653;0.000000000;0.000000000
-1.815142422;-104.000000;158.300000;158.253867;320.173571;-0.298501;0.000000000;0.000000000
-1.806415776;-103.500000;158.900000;159.397246;320.821115;-0.312307;0.000000000;0.000000000
-1.797689130;-103.000000;160.200000;160.560402;321.476072;-0.326072;0.000000000;0.000000000
-1.788962483;-102.500000;161.300000;161.743732;322.138526;-0.339793;0.000000000;0.000000000
-1.780235837;-102.000000;162.300000;162.947642;322.808564;-0.353471;0.000000000;0.000000000
-1.771509191;-101.500000;163.700000;164.172549;323.486271;-0.367105;0.000000000;0.000000000
-1.762782545;-101.000000;164.400000;165.418882;324.171737;-0.380694;0.000000000;0.000000000
-1.754055898;-100.500000;165.700000;166.687078;324.865051;-0.394237;0.000000000;0.000000000
-1.745329252;-100.000000;167.100000;167.977586;325.566304;-0.407734;0.000000000;0.000000000
-1.736602606;-99.500000;168.500000;169.290868;326.275588;-0.421183;0.000000000;0.000000000
-1.727875959;-99.000000;169.600000;170.627396;326.992998;-0.434583;0.000000000;0.000000000
-1.719149313;-98.500000;171.600000;171.987654;327.718627;-0.447935;0.000000000;0.000000000
-1.710422667;-98.000000;172.900000;173.372139;328.452573;-0.461236;0.000000000;0.000000000
-1.701696021;-97.500000;173.800000;174.781361;329.194934;-0.474487;0.000000000;0.000000000
-1.692969374;-97.000000;175.700000;176.215842;329.945808;-0.487685;0.000000000;0.000000000
-1.684242728;-96.500000;177.300000;177.676120;330.705298;-0.500831;0.000000000;0.000000000
-1.675516082;-96.000000;178.700000;179.162744;331.473504;-0.513922;0.000000000;0.000000000
-1.666789436;-95.500000;180.200000;180.676279;332.250531;-0.526959;0.000000000;0.000000000
-1.658062789;-95.000000;182.000000;182.217304;333.036485;-0.539941;0.000000000;0.000000000
-1.649336143;-94.500000;183.200000;183.786414;333.831473;-0.552865;0.000000000;0.000000000
-1.640609497;-94.000000;184.600000;185.384219;334.635603;-0.565731;0.000000000;0.000000000
-1.631882851;-93.500000;186.000000;187.011347;335.448986;-0.578538;0.000000000;0.000000000
-1.623156204;-93.000000;187.900000;188.668439;336.271734;-0.591285;0.000000000;0.000000000
-1.614429558;-92.500000;189.400000;190.356157;337.103960;-0.603970;0.000000000;0.000000000
-1.605702912;-92.000000;191.300000;192.075178;337.945780;-0.616593;0.000000000;0.000000000
-1.596976266;-91.500000;192.900000;193.826199;338.797312;-0.629153;0.000000000;0.000000000
-1.588249619;-91.000000;194.700000;195.609935;339.658674;-0.641647;0.000000000;0.000000000
-1.579522973;-90.500000;196.500000;197.427119;340.529987;-0.654075;0.000000000;0.000000000
-1.570796327;-90.000000;198.400000;199.278507;341.411375;-0.666435;0.000000000;0.000000000
-1.562069681;-89.500000;200.400000;201.164873;342.302960;-0.678727;0.000000000;0.000000000
-1.553343034;-89.000000;202.100000;203.087015;343.204871;-0.690948;0.000000000;0.000000000
-1.544616388;-88.500000;204.100000;205.045749;344.117236;-0.703097;0.000000000;0.000000000
-1.535889742;-88.000000;206.500000;207.041916;345.040185;-0.715174;0.000000000;0.000000000
-1.527163095;-87.500000;208.300000;209.076382;345.973851;-0.727175;0.000000000;0.000000000
-1.518436449;-87.000000;210.300000;211.150033;346.918367;-0.739101;0.000000000;0.000000000
-1.509709803;-86.500000;212.400000;213.263783;347.873872;-0.750949;0.000000000;0.000000000
-1.500983157;-86.000000;214.300000;215.418570;348.840504;-0.762718;0.000000000;0.000000000
-1.492256510;-85.500000;217.000000;217.615360;349.818403;-0.774405;0.000000000;0.000000000
-1.483529864;-85.000000;218.900000;219.855144;350.807714;-0.786010;0.000000000;0.000000000
-1.474803218;-84.500000;221.400000;222.138943;351.808581;-0.797531;0.000000000;0.000000000
-1.466076572;-84.000000;223.700000;224.467807;352.821152;-0.808966;0.000000000;0.000000000
-1.457349925;-83.500000;226.200000;226.842815;353.845577;-0.820312;0.000000000;0.000000000
